file,visual_kmeans_lables,id
87acup-20250907135836-2630700463995144,3,87acup
87acup-20250908164006-778358044700025,5,87acup
87acup-20250910125023-1238774964894556,1,87acup
87acup-20250911223714-866134459561574,1,87acup
87acup-20250914085627-4290383517887647,1,87acup
87acup-20250915010009-1582852989628118,0,87acup
87acup-20250916131403-1251896743504272,5,87acup
87acup-20250917064433-2121250025366573,1,87acup
87acup-20250919133009-940169215001400,5,87acup
87acup-20250924121557-2590829151291416,5,87acup
87acup-20250924182016-3780355825433059,1,87acup
87acup-20250928000146-1512780693115359,0,87acup
87acup-20250929013058-2010269683169670,1,87acup
87acup-20250929131007-886988317382837,3,87acup
87acup-20251002043506-912090534690800,5,87acup
87acup-20251007133016-1615927409608507,3,87acup
87acup-20251013212557-1219894740116455,1,87acup
87acup-20251017000007-1811286486942266,1,87acup
87acup-20251020102632-1972548750346585,0,87acup
87acup-20251021010010-1425626602606174,5,87acup
87acup-20251023181010-1818305498848024,1,87acup
87acup-20251024095017-26756970030556372,0,87acup
87acup-20251029180005-915143247632912,5,87acup
87acup-20251030000007-25751507677877174,0,87acup
87acup-20251030012635-2367814720325184,0,87acup
87acup-20251101085805-1144515317607911,5,87acup
87acup-20251103081008-1539178237779857,1,87acup
87acup-20251105190010-1463133898841304,0,87acup
87acup-20251109230923-3142946482543682,3,87acup
87acup-20251112144010-3032121447176890,1,87acup
87acup-20251114081356-1557928645324818,1,87acup
87acup-20251114221423-1935601403707086,3,87acup
87acup-20251119205311-931448532673661,1,87acup
87acup-20251120184817-26212888594985429,0,87acup
87acup-20251123213311-809127635549686,6,87acup
87acup-20251125144254-898909539204201,1,87acup
87acup-20251127131404-26836885622566778,1,87acup
87acup-20251130010810-893942163592661,5,87acup
87acup-20251202134854-1206956681492217,1,87acup
87acup-20251205222005-1483885493304915,5,87acup
87acup-20251206114550-1659894961661403,1,87acup
87acup-20251209004242-1948579199377998,3,87acup
87acup-20251222014504-1246794924262340,5,87acup
87acup-20251223211008-1878558032752325,1,87acup
87acup-20251227143932-885094387734154,1,87acup
87acup-20251228202009-1939668180319056,1,87acup
87acup-20260102024038-2332075843927555,1,87acup
87acup-20260107024056-4170647416530561,1,87acup
87acup-20260121060714-1554098335879889,1,87acup
ackj0301_ifbbpro-20250209204934-1449091663318648,3,ackj0301_ifbbpro
ackj0301_ifbbpro-20250209204934-1733521424273268,3,ackj0301_ifbbpro
ackj0301_ifbbpro-20250209204934-926926990015418,5,ackj0301_ifbbpro
ackj0301_ifbbpro-20250214141355-1452984509675724,3,ackj0301_ifbbpro
ackj0301_ifbbpro-20250218190022-2327174494435485,3,ackj0301_ifbbpro
